SET,Clusters,Extroversion,Neurotic,Agreeable,Conscientious,Openness,Label,Traits
1,0,64.0982141670764,70.2049920939688,58.4790191206367,59.0608100027904,69.8689857691439,NOE,"['Experiences high level of stress', 'Creative', 'Prefers being the center of attention']"
1,1,65.3039349161547,67.197409928607,57.2591067574299,57.4636227793458,68.8382201560684,ONE,"['Open to trying new things', 'Feels anxious and worries a lot', 'Conversation starter']"
1,2,66.5459675677091,52.1311105146351,60.7810198430104,55.3789877511473,72.6469895056596,OEA,"['Focused on new challenges', 'Feels energetic when surrounded by people', 'Not interested in other people']"
1,3,62.5957131633221,54.1452106589845,61.5593184273415,56.2338363832782,71.6102235898779,OEA,"['Thinking about abstract concepts', 'Saying things before thinking', 'Not concerned with people’s feelings']"
1,4,58.7438388893069,73.7774192941531,60.8565354804726,61.2086123861841,66.9882045300625,NOC,"['Easily gets upset', 'Creative', 'Procrastinator']"
1,5,61.7164032659355,76.8674352594877,56.9585450467814,62.4243263132074,65.76087185058,NOC,"['Finds it hard to recover from stressful events', 'Open to trying new things', 'Unable to finish assigned tasks']"
1,6,65.6057731958763,68.415990836197,72.1716838487972,62.4899885452463,69.5903780068729,AON,"['Empathetic', 'Thinking about abstract concepts', 'Experiences high level of stress']"
1,7,55.7636702516183,59.1863335264338,54.7482557993099,51.7287106767751,52.9907059919905,NEA,"['Feels anxious and worries a lot', 'Enjoys solitude', 'Manipulative']"
2,0,62.9027821054974,60.3417315824616,66.0569330068996,70.6782105497441,71.1959492543957,OCA,"['Creative', 'Spends time in preparation', 'Not interested in other people']"
2,1,51.4172588759831,53.6155183889044,71.2264637052623,59.3265273990739,67.5617794190266,AOC,"['Interested in other people', 'Open to trying new things', 'Does not like schedules and structures']"
2,2,49.2526738653941,65.340656682281,69.9574087513653,67.5610828879945,67.8358367604261,AOC,"['Cares about people', 'Focused on new challenges', 'Takes care of important tasks instantly']"
2,3,54.1837218418678,49.6149708732554,62.8446208965021,54.1108366076231,48.5840937890294,AEC,"['Not concerned with people’s feelings', 'Feels exhausted by socialization', 'Makes a mess by not taking care of things']"
2,4,66.8420075699494,65.6514353043717,67.7590367279741,66.2469030191024,55.2977136815941,AEC,"['Cares about people', 'Likes meeting new people', 'Attention to detail']"
2,5,63.7274106064112,53.3115686828959,56.3135909102594,62.4422679794007,67.9160775644157,OEC,"['Thinking about abstract concepts', 'Saying things before thinking', 'Procrastinator']"
2,6,54.5469990344431,54.6191209746965,68.7107972846476,70.548930148224,67.0563413501581,CAO,"['Enjoys a set schedule', 'Empathetic', 'Thinking about abstract concepts']"
2,7,63.0940844948925,58.9833152420045,70.345628248352,59.0070735897749,65.8414983933462,AOE,"['Enjoys helping other people', 'Creative', 'Prefers being the center of attention']"
3,0,55.0362392136893,68.7655996037753,56.7733148242451,64.8363829149024,58.6298856668504,NCO,"['Experiences high level of stress', 'Does not like schedules and structures', 'Not appreciative of change']"
3,1,59.7929823079252,67.4525665124858,59.8714103674291,63.2415640554488,60.1464365922515,NCO,"['Feels anxious and worries a lot', 'Makes a mess by not taking care of things', 'Creative']"
3,2,56.8997873545607,55.4134978781885,64.5609660974455,70.6853404648485,58.488453074073,CAO,"['Spends time in preparation', 'Cares about people', 'Does not like new things']"
3,3,61.6893389951524,46.639766763118,60.7947214810918,76.9766888379492,58.6626144576804,CEA,"['Takes care of important tasks instantly', 'Prefers being the center of attention', 'Empathetic']"
3,4,57.9635652991257,48.9475997592659,58.2312467456942,76.2476247793834,57.4659016371271,CAE,"['Attention to detail', 'Insulting', 'Conversation starter']"
3,5,52.8529740073354,48.7408706745336,55.5637591027481,46.9824589379684,54.2029979269654,AOE,"['Manipulative', 'Not interested in other people', 'Enjoys solitude']"
3,6,55.8155564924115,65.5856344856661,58.5279300168634,57.008326306914,60.091642074199,NOA,"['Feels anxious and worries a lot', 'Thinking about abstract concepts', 'Not concerned with people’s feelings']"
3,7,61.5138609948299,58.1045482775587,61.0035408651326,73.2285592147184,62.1357708035909,COE,"['Enjoys a set schedule', 'Open to trying new things', 'Likes meeting new people']"
4,0,54.6767474898269,56.5669018323662,56.7288892634418,56.179540584142,53.1002744937517,ANC,"['Interested in other people', 'Lacks emotional stability', 'Does not like schedules and structures']"
4,1,61.7898692423165,59.3095223986727,53.1437149403492,68.6657580785336,71.0218159911511,OCE,"['Creative', 'Spends time in preparation', 'Prefers being the center of attention']"
4,2,60.6627528497988,63.0534407130085,71.1733068842199,72.6167160259276,68.4744146736701,CAO,"['Takes care of important tasks instantly', 'Cares about people', 'Open to trying new things']"
4,3,60.6507089391918,64.1429411365641,70.471306995922,70.5383942772288,70.8208015799432,OCA,"['Focused on new challenges', 'Attention to detail', 'Empathetic']"
4,4,61.9646875330014,55.677858019025,67.858262727354,62.8102533691847,70.4601506080373,OAC,"['Thinking about abstract concepts', 'Enjoys helping other people', 'Makes a mess by not taking care of things']"
4,5,62.7632596529711,53.6189501954498,71.0466407941731,69.854361764954,67.8987738687815,ACO,"['Interested in other people', 'Attention to detail', 'Thinking about abstract concepts']"
4,6,60.933597341065,62.2153313061311,69.7451736086557,70.4350470263772,67.6833675129057,CAO,"['Enjoys a set schedule', 'Interested in other people', 'Creative']"
4,7,60.6499297704927,55.0280236189333,71.4981044851427,71.3039846722396,71.9354365820731,OAC,"['Not appreciative of change', 'Cares about people', 'Enjoys a set schedule']"
